Datetime,Water Level (m)
2023-05-28 00:00:00,0.20485774
2023-05-28 01:00:00,0.024944093
2023-05-28 02:00:00,-0.13144867
2023-05-28 03:00:00,-0.2371986
2023-05-28 04:00:00,-0.23631088
2023-05-28 05:00:00,-0.12689774
2023-05-28 06:00:00,0.06343043
2023-05-28 07:00:00,0.28371918
2023-05-28 08:00:00,0.47406334
2023-05-28 09:00:00,0.6132235
2023-05-28 10:00:00,0.64973456
2023-05-28 11:00:00,0.568186
2023-05-28 12:00:00,0.37293395
2023-05-28 13:00:00,0.1544038
2023-05-28 14:00:00,-0.06591534
2023-05-28 15:00:00,-0.2678828
2023-05-28 16:00:00,-0.39825556
2023-05-28 17:00:00,-0.4233002
2023-05-28 18:00:00,-0.32544473
2023-05-28 19:00:00,-0.14718302
2023-05-28 20:00:00,0.08471328
2023-05-28 21:00:00,0.29652995
2023-05-28 22:00:00,0.4468908
2023-05-28 23:00:00,0.50284034
2023-05-29 00:00:00,0.4461003
2023-05-29 01:00:00,0.27132627
2023-05-29 02:00:00,0.057134558
2023-05-29 03:00:00,-0.11968796
2023-05-29 04:00:00,-0.23700084
2023-05-29 05:00:00,-0.2500772
2023-05-29 06:00:00,-0.17122461
2023-05-29 07:00:00,-5.4589582e-05
2023-05-29 08:00:00,0.21997926
2023-05-29 09:00:00,0.43824846
2023-05-29 10:00:00,0.59982395
2023-05-29 11:00:00,0.67641985
2023-05-29 12:00:00,0.62093866
2023-05-29 13:00:00,0.4149051
2023-05-29 14:00:00,0.1315241
2023-05-29 15:00:00,-0.13706154
2023-05-29 16:00:00,-0.36346725
2023-05-29 17:00:00,-0.5109663
2023-05-29 18:00:00,-0.49011278
2023-05-29 19:00:00,-0.36346367
2023-05-29 20:00:00,-0.13894087
2023-05-29 21:00:00,0.14400168
2023-05-29 22:00:00,0.3855398
2023-05-29 23:00:00,0.55366427
2023-05-30 00:00:00,0.63249725
2023-05-30 01:00:00,0.58297354
2023-05-30 02:00:00,0.39098614
2023-05-30 03:00:00,0.14430358
2023-05-30 04:00:00,-0.08881895
2023-05-30 05:00:00,-0.2777556
2023-05-30 06:00:00,-0.33869582
2023-05-30 07:00:00,-0.2603548
2023-05-30 08:00:00,-0.069730826
2023-05-30 09:00:00,0.20009735
2023-05-30 10:00:00,0.4613506
2023-05-30 11:00:00,0.64845484
